# Branch cleanup 2026-06-25 — branch<TAB>SHA recovery record
# Recover any branch with: git branch <name> <sha>
claude/hardcore-poitras-4022d2	6418a5eb6
super-employee/codex/1-99223-b166c8	425e8d652
super-employee/codex/1-9959-1f2c0f	425e8d652
super-employee/codex/2-14068-73458f	579c7de6f
super-employee/codex/2-15494-cf843	ddb37988c
super-employee/codex/2-16377-54e090	579c7de6f
super-employee/codex/2-16660-c59461	579c7de6f
super-employee/codex/2-19176-7a4911	05b1cc796
super-employee/codex/2-23491-780dac	579c7de6f
super-employee/codex/2-25313-4215b4	ddb37988c
super-employee/codex/2-26403-71f446	579c7de6f
super-employee/codex/2-27285-fa4369	ce8d5231d
super-employee/codex/2-27980-3035fa	579c7de6f
super-employee/codex/2-31846-ff28df	a9c685b37
super-employee/codex/2-31962-6dd1aa	579c7de6f
super-employee/codex/2-32736-720f1d	ddb37988c
super-employee/codex/2-3398-935480	ce8d5231d
super-employee/codex/2-3428-acfcce	579c7de6f
super-employee/codex/2-35246-916830	579c7de6f
super-employee/codex/2-41770-e00c96	74f4628e6
super-employee/codex/2-42363-527d09	579c7de6f
super-employee/codex/2-44590-20a017	579c7de6f
super-employee/codex/2-46923-ae5200	579c7de6f
super-employee/codex/2-47700-980cf1	3447a4315
super-employee/codex/2-48389-aeaf0e	579c7de6f
super-employee/codex/2-48662-7ae6f5	ce8d5231d
super-employee/codex/2-48856-14a1de	579c7de6f
super-employee/codex/2-51651-e161ff	579c7de6f
super-employee/codex/2-52430-fd96c1	ce8d5231d
super-employee/codex/2-53511-b7e0	ce8d5231d
super-employee/codex/2-54422-553902	579c7de6f
super-employee/codex/2-5623-2e535a	97dd612a8
super-employee/codex/2-57549-53f4f0	ce8d5231d
super-employee/codex/2-59432-3d48fd	579c7de6f
super-employee/codex/2-59631-f29e39	579c7de6f
super-employee/codex/2-60121-be6744	579c7de6f
super-employee/codex/2-61128-f7603a	579c7de6f
super-employee/codex/2-61935-a1a6fa	579c7de6f
super-employee/codex/2-6210-c9a70d	425e8d652
super-employee/codex/2-63811-3959b7	97dd612a8
super-employee/codex/2-64755-ea7ba5	97dd612a8
super-employee/codex/2-66121-74e2fa	579c7de6f
super-employee/codex/2-68221-df6293	579c7de6f
super-employee/codex/2-69085-1fbc84	579c7de6f
super-employee/codex/2-70337-9f7dbe	3a3a8fae7
super-employee/codex/2-70928-4add88	579c7de6f
super-employee/codex/2-72251-13b76f	579c7de6f
super-employee/codex/2-77465-b8dd10	ce8d5231d
super-employee/codex/2-78689-e6186a	579c7de6f
super-employee/codex/2-80515-2e881	579c7de6f
super-employee/codex/2-80637-486549	579c7de6f
super-employee/codex/2-82814-20c2fe	dc22562dc
super-employee/codex/2-84156-4adef1	579c7de6f
super-employee/codex/2-87317-759895	dc22562dc
super-employee/codex/2-91475-3eb281	579c7de6f
super-employee/codex/2-92523-4aca26	579c7de6f
super-employee/codex/2-97283-db4014	579c7de6f
super-employee/codex/2-98763-f3daf4	579c7de6f
super-employee/codex/2-99223-2064f2	425e8d652
super-employee/codex/2-9959-fa6ee3	425e8d652
super-employee/codex/2026-06-18t21-40-27-583-58680-e0165d	fcc323734
super-employee/codex/3-14068-430b71	579c7de6f
super-employee/codex/3-15494-257aab	ddb37988c
super-employee/codex/3-16377-da7de2	579c7de6f
super-employee/codex/3-16660-21c63b	579c7de6f
super-employee/codex/3-19176-791e7e	05b1cc796
super-employee/codex/3-23491-23ffa0	579c7de6f
super-employee/codex/3-25313-984351	ddb37988c
super-employee/codex/3-26403-9a7585	579c7de6f
super-employee/codex/3-27285-ae6fc3	ce8d5231d
super-employee/codex/3-27980-ee103	579c7de6f
super-employee/codex/3-31846-3a5eb4	a9c685b37
super-employee/codex/3-31962-ca9af8	579c7de6f
super-employee/codex/3-32736-66db50	ddb37988c
super-employee/codex/3-3398-290271	ce8d5231d
super-employee/codex/3-3428-383ee2	579c7de6f
super-employee/codex/3-35246-64c337	579c7de6f
super-employee/codex/3-41770-b53828	74f4628e6
super-employee/codex/3-42363-9ac85d	579c7de6f
super-employee/codex/3-44590-7982ee	579c7de6f
super-employee/codex/3-46923-838bd5	579c7de6f
super-employee/codex/3-47700-4fa874	3447a4315
super-employee/codex/3-48389-87ca3c	579c7de6f
super-employee/codex/3-48662-5dd98b	ce8d5231d
super-employee/codex/3-48856-a4b9cc	579c7de6f
super-employee/codex/3-51651-fbc78b	579c7de6f
super-employee/codex/3-52430-17041f	ce8d5231d
super-employee/codex/3-53511-625c4b	ce8d5231d
super-employee/codex/3-54422-4e695	579c7de6f
super-employee/codex/3-5623-90df4f	97dd612a8
super-employee/codex/3-57549-a4cd6f	ce8d5231d
super-employee/codex/3-59432-586847	579c7de6f
super-employee/codex/3-59631-ddc495	579c7de6f
super-employee/codex/3-60121-8c1267	579c7de6f
super-employee/codex/3-61128-69065d	579c7de6f
super-employee/codex/3-61935-fcfd51	579c7de6f
super-employee/codex/3-6210-9d1908	425e8d652
super-employee/codex/3-63811-c8897b	97dd612a8
super-employee/codex/3-64755-e13a46	97dd612a8
super-employee/codex/3-66121-f99a46	579c7de6f
super-employee/codex/3-68221-fcaab8	579c7de6f
super-employee/codex/3-69085-e4ec2e	579c7de6f
super-employee/codex/3-70337-fa6772	3a3a8fae7
super-employee/codex/3-70928-25aca8	579c7de6f
super-employee/codex/3-72251-3b30c9	579c7de6f
super-employee/codex/3-77465-64cb30	ce8d5231d
super-employee/codex/3-78689-193fa7	579c7de6f
super-employee/codex/3-80515-8e8585	579c7de6f
super-employee/codex/3-80637-c7f0a6	579c7de6f
super-employee/codex/3-82814-677e80	dc22562dc
super-employee/codex/3-84156-50b230	579c7de6f
super-employee/codex/3-87317-9a72f8	dc22562dc
super-employee/codex/3-91475-d9ee2a	579c7de6f
super-employee/codex/3-92523-53f552	579c7de6f
super-employee/codex/3-97283-7d945d	579c7de6f
super-employee/codex/3-98763-b5a622	579c7de6f
super-employee/codex/3-99223-64c33e	425e8d652
super-employee/codex/3-9959-485277	425e8d652
super-employee/codex/4-14068-392cac	579c7de6f
super-employee/codex/4-15494-738dfa	ddb37988c
super-employee/codex/4-16377-948df0	579c7de6f
super-employee/codex/4-16660-cb00b6	579c7de6f
super-employee/codex/4-19176-477c56	05b1cc796
super-employee/codex/4-23491-852503	579c7de6f
super-employee/codex/4-25313-16a7b3	ddb37988c
super-employee/codex/4-26403-ad022a	579c7de6f
super-employee/codex/4-27285-e71db6	ce8d5231d
super-employee/codex/4-27980-87f3bd	579c7de6f
super-employee/codex/4-31846-942b47	a9c685b37
super-employee/codex/4-31962-d408a5	579c7de6f
super-employee/codex/4-32736-a13d77	ddb37988c
super-employee/codex/4-3398-be0cf6	ce8d5231d
super-employee/codex/4-3428-31689d	579c7de6f
super-employee/codex/4-35246-9e2e28	579c7de6f
super-employee/codex/4-41770-7f506d	74f4628e6
super-employee/codex/4-42363-6fb3cf	579c7de6f
super-employee/codex/4-44590-2a8d14	579c7de6f
super-employee/codex/4-46923-9715fa	579c7de6f
super-employee/codex/4-47700-f11992	3447a4315
super-employee/codex/4-48389-e6bbda	579c7de6f
super-employee/codex/4-48662-eb897d	ce8d5231d
super-employee/codex/4-48856-1d355f	579c7de6f
super-employee/codex/4-51651-203c45	579c7de6f
super-employee/codex/4-52430-1220eb	ce8d5231d
super-employee/codex/4-53511-52d0ab	ce8d5231d
super-employee/codex/4-54422-182d2d	579c7de6f
super-employee/codex/4-5623-6ecb97	97dd612a8
super-employee/codex/4-57549-175eaa	ce8d5231d
super-employee/codex/4-59432-daeea7	579c7de6f
super-employee/codex/4-59631-e60d52	579c7de6f
super-employee/codex/4-60121-680f2b	579c7de6f
super-employee/codex/4-61128-49a620	579c7de6f
super-employee/codex/4-61935-4e9776	579c7de6f
super-employee/codex/4-6210-155416	425e8d652
super-employee/codex/4-63811-41cfa1	97dd612a8
super-employee/codex/4-64755-b6a8de	97dd612a8
super-employee/codex/4-66121-5e7730	579c7de6f
super-employee/codex/4-68221-a05ad9	579c7de6f
super-employee/codex/4-69085-5ca4f4	579c7de6f
super-employee/codex/4-70337-28a05a	3a3a8fae7
super-employee/codex/4-70928-960bb4	579c7de6f
super-employee/codex/4-72251-378cdc	579c7de6f
super-employee/codex/4-77465-89bdf7	ce8d5231d
super-employee/codex/4-78689-a76f1f	579c7de6f
super-employee/codex/4-80515-1b836a	579c7de6f
super-employee/codex/4-80637-a49493	579c7de6f
super-employee/codex/4-82814-ca3120	dc22562dc
super-employee/codex/4-84156-e1edb9	579c7de6f
super-employee/codex/4-87317-d9d6	dc22562dc
super-employee/codex/4-91475-3d4341	579c7de6f
super-employee/codex/4-92523-50f6e4	579c7de6f
super-employee/codex/4-97283-2f803c	579c7de6f
super-employee/codex/4-98763-71045d	579c7de6f
super-employee/codex/4-99223-4160b	425e8d652
super-employee/codex/4-9959-1daaba	425e8d652
super-employee/codex/5-14068-47a308	579c7de6f
super-employee/codex/5-15494-52e721	ddb37988c
super-employee/codex/5-16377-3c272b	579c7de6f
super-employee/codex/5-16660-351a31	579c7de6f
super-employee/codex/5-19176-71d297	05b1cc796
super-employee/codex/5-23491-a31f9a	579c7de6f
super-employee/codex/5-25313-f31724	ddb37988c
super-employee/codex/5-26403-70e673	579c7de6f
super-employee/codex/5-27285-564783	ce8d5231d
super-employee/codex/5-27980-723328	579c7de6f
super-employee/codex/5-31846-7a120	a9c685b37
super-employee/codex/5-31962-c722dd	579c7de6f
super-employee/codex/5-32736-aeceba	ddb37988c
super-employee/codex/5-3398-579392	ce8d5231d
super-employee/codex/5-3428-be021e	579c7de6f
super-employee/codex/5-35246-ab6a1	579c7de6f
super-employee/codex/5-41770-a865fc	74f4628e6
super-employee/codex/5-42363-ee11fb	579c7de6f
super-employee/codex/5-44590-d27195	579c7de6f
super-employee/codex/5-46923-6249b8	579c7de6f
super-employee/codex/5-47700-2d26bf	3447a4315
super-employee/codex/5-48389-31ad51	579c7de6f
super-employee/codex/5-48662-b558bc	ce8d5231d
super-employee/codex/5-48856-da1d92	579c7de6f
super-employee/codex/5-51651-b299ad	579c7de6f
super-employee/codex/5-52430-b816eb	ce8d5231d
super-employee/codex/5-53511-1f78ba	ce8d5231d
super-employee/codex/5-54422-f652ec	579c7de6f
super-employee/codex/5-5623-8f4e0b	97dd612a8
super-employee/codex/5-57549-f0c21c	ce8d5231d
super-employee/codex/5-59432-5b4551	579c7de6f
super-employee/codex/5-59631-f8dcec	579c7de6f
super-employee/codex/5-60121-774e05	579c7de6f
